Premium,en-AU,en-AU-Journey-D,MALE
Premium,en-AU,en-AU-Journey-F,FEMALE
Premium,en-AU,en-AU-Neural2-A,FEMALE
Premium,en-AU,en-AU-Neural2-B,MALE
Premium,en-AU,en-AU-Neural2-C,FEMALE
Premium,en-AU,en-AU-Neural2-D,MALE
Premium,en-AU,en-AU-News-E,FEMALE
Premium,en-AU,en-AU-News-F,FEMALE
Premium,en-AU,en-AU-News-G,MALE
Premium,en-AU,en-AU-Polyglot-1,MALE
Standard,en-AU,en-AU-Standard-A,FEMALE
Standard,en-AU,en-AU-Standard-B,MALE
Standard,en-AU,en-AU-Standard-C,FEMALE
Standard,en-AU,en-AU-Standard-D,MALE
Premium,en-AU,en-AU-Wavenet-A,FEMALE
Premium,en-AU,en-AU-Wavenet-B,MALE
Premium,en-AU,en-AU-Wavenet-C,FEMALE
Premium,en-AU,en-AU-Wavenet-D,MALE
Premium,en-IN,en-IN-Journey-D,MALE
Premium,en-IN,en-IN-Journey-F,FEMALE
Premium,en-IN,en-IN-Neural2-A,FEMALE
Premium,en-IN,en-IN-Neural2-B,MALE
Premium,en-IN,en-IN-Neural2-C,MALE
Premium,en-IN,en-IN-Neural2-D,FEMALE
Standard,en-IN,en-IN-Standard-A,FEMALE
Standard,en-IN,en-IN-Standard-B,MALE
Standard,en-IN,en-IN-Standard-C,MALE
Standard,en-IN,en-IN-Standard-D,FEMALE
Standard,en-IN,en-IN-Standard-E,FEMALE
Standard,en-IN,en-IN-Standard-F,MALE
Standard,en-IN,en-IN-Wavenet-A,FEMALE
Standard,en-IN,en-IN-Wavenet-B,MALE
Standard,en-IN,en-IN-Wavenet-C,MALE
Standard,en-IN,en-IN-Wavenet-D,FEMALE
Standard,en-IN,en-IN-Wavenet-E,FEMALE
Standard,en-IN,en-IN-Wavenet-F,MALE
Premium,en-GB,en-GB-Journey-D,MALE
Premium,en-GB,en-GB-Journey-F,FEMALE
Premium,en-GB,en-GB-Neural2-A,FEMALE
Premium,en-GB,en-GB-Neural2-B,MALE
Premium,en-GB,en-GB-Neural2-C,FEMALE
Premium,en-GB,en-GB-Neural2-D,MALE
Premium,en-GB,en-GB-Neural2-F,FEMALE
Premium,en-GB,en-GB-News-G,FEMALE
Premium,en-GB,en-GB-News-H,FEMALE
Premium,en-GB,en-GB-News-I,FEMALE
Premium,en-GB,en-GB-News-J,MALE
Premium,en-GB,en-GB-News-K,MALE
Premium,en-GB,en-GB-News-L,MALE
Premium,en-GB,en-GB-News-M,MALE
Standard,en-GB,en-GB-Standard-A,FEMALE
Standard,en-GB,en-GB-Standard-B,MALE
Standard,en-GB,en-GB-Standard-C,FEMALE
Standard,en-GB,en-GB-Standard-D,MALE
Standard,en-GB,en-GB-Standard-F,FEMALE
Standard,en-GB,en-GB-Standard-N,FEMALE
Standard,en-GB,en-GB-Standard-O,MALE
Studio,en-GB,en-GB-Studio-B,MALE
Studio,en-GB,en-GB-Studio-C,FEMALE
Premium,en-GB,en-GB-Wavenet-A,FEMALE
Premium,en-GB,en-GB-Wavenet-B,MALE
Premium,en-GB,en-GB-Wavenet-C,FEMALE
Premium,en-GB,en-GB-Wavenet-D,MALE
Premium,en-GB,en-GB-Wavenet-F,FEMALE
Premium,en-US,en-US-Casual-K,MALE
Premium,en-US,en-US-Journey-D,MALE
Premium,en-US,en-US-Journey-F,FEMALE
Premium,en-US,en-US-Journey-O,FEMALE
Premium,en-US,en-US-Neural2-A,MALE
Premium,en-US,en-US-Neural2-C,FEMALE
Premium,en-US,en-US-Neural2-D,MALE
Premium,en-US,en-US-Neural2-E,FEMALE
Premium,en-US,en-US-Neural2-F,FEMALE
Premium,en-US,en-US-Neural2-G,FEMALE
Premium,en-US,en-US-Neural2-H,FEMALE
Premium,en-US,en-US-Neural2-I,MALE
Premium,en-US,en-US-Neural2-J,MALE
Premium,en-US,en-US-News-K,FEMALE
Premium,en-US,en-US-News-L,FEMALE
Premium,en-US,en-US-News-N,MALE
Premium,en-US,en-US-Polyglot-1,MALE
Standard,en-US,en-US-Standard-A,MALE
Standard,en-US,en-US-Standard-B,MALE
Standard,en-US,en-US-Standard-C,FEMALE
Standard,en-US,en-US-Standard-D,MALE
Standard,en-US,en-US-Standard-E,FEMALE
Standard,en-US,en-US-Standard-F,FEMALE
Standard,en-US,en-US-Standard-G,FEMALE
Standard,en-US,en-US-Standard-H,FEMALE
Standard,en-US,en-US-Standard-I,MALE
Standard,en-US,en-US-Standard-J,MALE
Studio,en-US,en-US-Studio-O,FEMALE
Studio,en-US,en-US-Studio-Q,MALE
Premium,en-US,en-US-Wavenet-A,MALE
Premium,en-US,en-US-Wavenet-B,MALE
Premium,en-US,en-US-Wavenet-C,FEMALE
Premium,en-US,en-US-Wavenet-D,MALE
Premium,en-US,en-US-Wavenet-E,FEMALE
Premium,en-US,en-US-Wavenet-F,FEMALE
Premium,en-US,en-US-Wavenet-G,FEMALE
Premium,en-US,en-US-Wavenet-H,FEMALE
Premium,en-US,en-US-Wavenet-I,MALE
Premium,en-US,en-US-Wavenet-J,MALE